年月,國別,台北市[金額，新台幣],台北市[筆數],新北市[金額，新台幣],新北市[筆數],桃園市[金額，新台幣],桃園市[筆數],台中市[金額，新台幣],台中市[筆數],台南市[金額，新台幣],台南市[筆數],高雄市[金額，新台幣],高雄市[筆數]
106年06月,荷蘭,120367063,126667,67495970,82026,23705077,18151,34029866,28514,14139896,7135,24764189,33682
106年07月,日本,653604101,158425,551780598,143346,202939844,53641,266693015,64901,137323492,35327,225445363,56319
106年07月,英國,528248992,176417,386093315,243070,156968192,114814,203189097,119337,84110650,65317,156505077,120227
106年07月,美國,504303506,123615,296238413,95585,107661798,39330,136986267,44007,59894435,22690,102907089,37434
106年07月,愛爾蘭,260341787,230758,225126567,251515,87726001,103019,122099506,136830,48188448,60907,86567152,109687
106年07月,中國,232500615,95346,216954364,120051,76931154,48200,102448285,61987,44623798,30080,78234624,56759
106年07月,香港,167813840,34680,111100624,28548,36987159,9578,46071503,11376,22078416,5877,39466411,11450
106年07月,新加坡,146599853,27161,88337877,21144,33850123,8381,38547807,10115,17200662,4474,30577387,8608
106年07月,匈牙利,110228452,15889,88089109,15737,34167795,6565,51091946,9367,19613484,4219,36382690,7561
106年07月,法國,134466168,12025,73172811,7164,25170421,2921,33182266,3515,12677743,1435,27589134,2975
106年07月,南韓,77648055,23071,86225666,24172,31877604,9484,48921894,10504,23005377,6056,35997339,8656
106年08月,日本,554873378,137334,463595142,121980,178753010,47253,222098938,54872,113316570,29719,195279832,51078
106年08月,英國,452555617,175861,361800356,245810,155349122,116611,194097390,125450,83143726,66270,140820475,122601
106年08月,美國,544780935,123147,332044953,96879,123933993,39048,154335900,46369,63970612,23734,118429348,40013
106年08月,愛爾蘭,287246069,233931,228845410,253183,128852065,103365,123504501,139033,48669839,61266,95790672,111695
106年08月,中國,214187239,93650,207186194,117635,78092829,46718,105957763,62188,48445681,30503,80229939,55694
106年08月,香港,180390033,29560,113546221,25449,41577768,10064,49724073,11695,21979225,5673,35473664,9592
106年08月,新加坡,160488168,26547,79229417,20744,32812905,8811,38833894,10541,17025812,4794,31287547,8575
106年08月,匈牙利,111403104,16605,90095949,16659,36947901,7120,56450205,9953,20743600,4351,36583627,7532
106年08月,南韓,84518127,22611,84026790,22569,38787918,10068,43405157,10866,19804370,5868,37227880,8903
106年08月,荷蘭,121918470,170821,78451052,108577,24913895,22809,40140802,38811,14184067,8380,27848828,41320
106年09月,日本,582238919,150556,532199882,138282,182390212,49831,217581640,56869,118956953,33625,207445797,54819
106年09月,英國,509799102,171102,367437429,236658,152335655,113571,182834684,119166,74511630,61893,139990630,111465
106年09月,美國,468318410,119237,276375797,93053,99142397,38196,140902620,42694,57852178,22180,92287471,34730
106年09月,愛爾蘭,215263363,220064,213708008,238420,95843672,96262,123056734,129935,42402753,56568,91708191,103558
106年09月,中國,213330621,89955,203643841,111821,77509840,44720,103215883,59654,43204976,28292,77518571,53412
106年09月,香港,187691438,31726,114357789,27984,38385939,10060,51605829,11837,24510131,5597,39710066,10750
106年09月,新加坡,152312339,25933,82309733,20952,34855093,8685,38823412,9978,18156234,4573,34098965,8264
106年09月,匈牙利,107316891,15640,93787655,15599,32273232,5944,49660462,8465,18394425,3828,32686024,6648
106年09月,荷蘭,138223236,181780,82096774,117606,23982719,24814,37437326,43609,15482740,9093,30131378,44998
106年09月,南韓,82206039,24905,79281811,24011,34285923,10470,37963308,10749,20495752,5897,37573961,9624
106年10月,日本,771348096,179483,627566423,163993,219539874,58631,278396271,70504,145172601,39152,236931702,62121
106年10月,英國,571753067,184640,363163629,253932,147112258,121756,189111602,129548,80091353,66657,147966752,124220
106年10月,美國,506121940,130850,307288104,102454,103783253,40678,145708187,47927,64039523,24021,106144114,38775
106年10月,愛爾蘭,214541023,233863,208476639,250021,91092865,101209,117411419,138152,43628965,58434,87490053,108601
106年10月,中國,217679520,92021,205260585,115115,80786730,47257,105372649,62231,49084991,29236,78932910,53908
106年10月,香港,227670957,34419,128846211,30160,39889801,11043,58942432,13475,28668562,6202,47481222,11172
106年10月,新加坡,164115150,29094,101903297,24485,38912534,9633,45158514,11825,22924931,5309,38969346,9665
106年10月,南韓,91227721,26689,105748173,28690,37755322,10072,46573058,11938,26916497,6129,37287833,9823
106年10月,匈牙利,106881343,16556,92205066,15696,33591637,6286,49581352,8831,20133470,3945,37128951,6959
106年10月,荷蘭,134179045,190640,81249666,128728,24241267,27932,38838383,48538,15137115,10484,26854575,49848
106年11月,日本,650515440,153570,519422817,137748,186655571,50526,242099415,60499,119786210,33299,219947970,56125
106年11月,英國,547011855,190676,417274283,262916,160208092,127999,216652069,136501,86578033,67632,160449815,127372
106年11月,美國,540299677,127443,326381314,102936,118786137,41845,156494777,47773,66916744,23872,122296040,38823
106年11月,中國,275164865,116067,269881817,145644,102423470,59249,139940512,77718,57389143,34135,99586135,65433
106年11月,愛爾蘭,236056524,245957,218415020,265126,89329200,108454,119494369,145751,46671614,63042,93343064,115157
106年11月,香港,218836933,34848,129529538,30073,38750031,11582,69100763,13982,26900114,6678,44710219,11724
106年11月,新加坡,151577837,30545,102492503,26125,38762420,10259,50023527,12741,25515743,6115,42878757,10771
106年11月,南韓,98804854,27913,96480688,27335,37244849,10233,46466552,12335,22483837,6147,34859452,10020
106年11月,荷蘭,121795365,198307,76161040,130535,20393995,28419,35646077,52375,14077221,10290,27575277,51064
106年11月,法國,82399096,8411,49116326,5612,22042708,2636,27478765,2493,11778041,1291,23804465,2260
106年12月,日本,750236878,177280,583902259,155393,220545433,57910,263962777,66404,150499901,38315,253866551,64409
106年12月,英國,557224917,199151,391534286,282250,222295817,142412,215701415,149816,90576147,73236,155296188,131852
106年12月,美國,529047595,129771,321707727,108079,124355932,45163,147144817,51097,62515157,26341,101893241,42214
106年12月,愛爾蘭,267490577,262098,270519356,288745,118667811,120616,158716690,162386,61202663,70817,117288070,126402
106年12月,中國,261364889,109477,250641597,138832,98746658,58488,132070717,73471,55256815,34377,95255571,61668
106年12月,香港,190975582,33899,122740884,29888,49559568,11243,55977591,13966,25020326,6328,49188236,11623
106年12月,新加坡,140187133,28940,99369748,24605,40820967,10407,50710619,12645,24121183,6272,46285447,10627
106年12月,南韓,102828648,27900,86384418,27143,36011341,10775,46476408,11601,20219682,6591,42315868,10863
106年12月,匈牙利,104795762,15375,84088088,14939,32894107,6173,49673448,9278,21222809,4220,40593672,7362
106年12月,荷蘭,136201588,223278,76052007,147266,23654734,33220,37715995,62614,12192726,11611,28066530,57484
107年01月,日本,668504436,164552,546201661,145814,206592375,55680,255643602,64132,134722993,34993,253837531,60969
107年01月,英國,506804748,173733,386351204,244155,217094476,122804,195802625,127782,81849499,64956,154496031,114835
107年01月,美國,507032247,120186,298818050,99241,111448423,40547,129822978,46405,61140365,23329,86959741,37553
107年01月,愛爾蘭,214690896,227608,224216084,249098,94256822,104418,155798592,143611,51251401,61881,98078129,109447
107年01月,中國,221400153,97985,227414858,127311,85498653,53915,124968398,70773,50662980,32596,84807522,58069
107年01月,香港,186829682,34568,123117570,31944,40726324,12351,57158685,15388,26888327,7160,43695031,12511
107年01月,新加坡,152378507,28664,100007665,23972,47853052,10554,48859445,12683,23954425,5519,46873749,10152
107年01月,匈牙利,106008203,14150,87419409,14387,32283870,5906,49224511,8719,21528914,3980,35319232,7075
107年01月,南韓,78949174,20106,79148239,21598,34864381,9078,44603502,10302,25583098,5746,42370269,9460
107年01月,荷蘭,126424155,216098,74368929,143422,20391002,32099,36321910,63316,11901580,11652,25212784,55112
107年02月,日本,738578241,162531,556491056,142705,202352032,52320,286953252,66744,141922906,35765,232685885,56546
107年02月,英國,490880550,193383,332149260,284592,150031451,139527,186516482,146181,77924180,74857,135774152,133569
107年02月,美國,503782344,122263,270958492,102599,113502466,40463,128807794,46740,57992520,24270,95261785,38918
107年02月,愛爾蘭,223660629,240460,232122255,267075,99768736,113537,157336183,148520,55596923,66406,103906038,117452
107年02月,香港,183321911,37170,122941175,38122,39421166,15630,53491487,18182,28447857,8741,43493073,15414
107年02月,中國,131661807,51350,123208683,66869,48849341,27189,67527436,34753,27405777,16505,49721652,30041
107年02月,新加坡,149346178,29403,96914487,24658,36678416,10092,49222914,12188,22123429,5376,39027439,10019
107年02月,南韓,95781842,24414,100645973,24150,41672186,10251,59386510,11819,24574942,5722,49667108,9357
107年02月,匈牙利,112092403,15484,94773060,16010,34242475,6463,50015141,9247,19846873,4027,36656128,6920
107年02月,荷蘭,128989690,208821,75663786,142207,22173910,35085,40610358,65695,12111824,11178,25730165,56865
107年03月,日本,700720865,172120,619499246,161494,233386917,60327,325753625,73233,164635727,42671,292757122,71309
107年03月,英國,503778836,216241,399773317,319374,168388994,158573,214067141,163759,97034083,86703,170005587,151057
107年03月,美國,615291132,149176,380120977,124879,155366019,50238,172195401,57721,79888416,29635,130921347,46601
107年03月,中國,316836698,120130,284532187,160675,114263603,69518,155820739,88542,67284611,41685,116427313,75161
107年03月,愛爾蘭,268367491,293496,262026439,329707,114854542,137664,160305423,182382,61598131,80184,122413535,144208
107年03月,新加坡,285291886,43837,195591598,37981,77277630,15563,93694742,18731,41918976,8235,82540619,15163
107年03月,香港,236610343,45146,185212820,42883,58893803,17346,72561986,20934,35664112,9761,67599445,17524
107年03月,匈牙利,180154441,23491,161554330,24856,61378830,10528,81978397,14003,35857661,6406,62563911,11014
107年03月,南韓,117111472,31837,116833940,33824,48013197,12504,65543695,16167,34609120,8146,61163850,14262
107年03月,荷蘭,155889260,286565,99312116,196830,27775704,45462,50066718,87259,19339247,15597,42023112,75801
107年04月,日本,920592796,221423,759073548,195820,283751785,72677,386359316,90261,186646761,47150,316448677,80032
107年04月,美國,704647058,171910,415022307,138068,164100338,55312,215770491,63037,88392797,32408,145146144,51328
107年04月,英國,530845236,243137,450530845,355859,182478099,171870,234616293,180376,100314240,95953,177023755,164691
107年04月,愛爾蘭,294577479,317888,291034355,356165,126219844,149858,169631802,194457,65494094,86068,130728407,154595
107年04月,中國,292613533,125098,293094221,162150,117277140,70843,157833170,89702,75833484,42536,129721983,74968
107年04月,新加坡,351137114,50920,215279364,42320,86730275,17313,115673520,21267,45936676,9329,86298633,16241
107年04月,香港,279136803,50107,187480317,47563,71879992,18843,91213702,23125,36344374,10475,63143345,18326
107年04月,南韓,153247810,44795,156462553,45256,63005017,16778,80599384,19484,38874630,10136,73814191,16844
107年04月,荷蘭,192872979,334695,117983994,221732,34741403,51065,53693835,98587,20056936,17490,40321416,83206
107年04月,匈牙利,125449713,18788,115511566,19103,46261251,8176,62993672,11339,27413845,5016,45510215,8486
107年05月,日本,852568378,214758,704258561,195437,271484358,75178,345800853,89120,177547636,49316,305094006,82031
107年05月,美國,896211633,302737,571204327,321078,241478012,146997,291661117,158937,126899305,81874,196578597,142923
107年05月,英國,653536181,176325,486796866,221865,205104598,101723,270630864,111472,114097800,57802,191277170,99847
107年05月,中國,334356010,142229,346389298,182070,130926850,78698,168440216,99720,74659291,46960,127871835,82463
107年05月,愛爾蘭,320138593,348116,307984132,375203,129866964,155202,175325334,203264,67345341,90034,134360485,160121
107年05月,新加坡,398782724,55572,236293762,45469,100040411,18909,126517450,23027,52298094,10411,88463682,17963
107年05月,香港,250534851,52391,180167737,48422,65724706,19932,82141249,23629,38595637,11078,68429675,19584
107年05月,荷蘭,214486869,425496,133160386,263602,43192489,61762,64785077,116613,19835567,19612,44945116,97778
107年05月,南韓,132146578,36692,141146627,37412,58997202,14389,73153662,16788,35644396,7969,65571448,13743
107年05月,法國,192024212,17471,94955815,9843,38117535,4437,49180575,4975,19787684,2298,40363730,4155
107年06月,日本,992679027,244918,757902142,217961,294415754,82845,348583213,94146,185623937,53584,317345708,85823
107年06月,美國,957296595,383584,611506509,452738,262542819,213174,305216416,223435,140008485,116123,222225004,200204
107年06月,英國,614523168,93300,394043973,81544,175314830,32710,208403937,40728,80574615,20338,133253861,33760
107年06月,中國,318794224,138546,334954585,176372,127462103,76742,167409921,97111,73278171,45688,121326124,80521
107年06月,愛爾蘭,296715237,338532,289155583,363806,125736328,152265,167336706,199156,66396492,89042,134170498,157357
107年06月,新加坡,387425649,56615,253360226,47372,97376364,19630,121136754,22918,50009579,10541,87413791,18216
107年06月,香港,264149707,56908,184977775,52756,70419421,20736,103316179,25385,36474848,11932,77160521,21170
107年06月,南韓,146137690,42841,152381708,43009,62936021,16249,76741968,18588,35806929,8669,64863272,15468
107年06月,法國,236933885,24841,117222278,14206,40503344,5326,63690481,6834,22326335,2787,51982970,5805
107年06月,荷蘭,221399172,441796,135743478,277691,36981748,66090,62986120,129750,20019528,21255,47397986,108602
107年07月,日本,999425709,240308,762075980,206688,294243875,80124,395866020,98709,200703298,54894,339371075,89879
107年07月,美國,974414816,399138,612309449,460949,262568327,216324,316854001,234112,137421417,116987,231338464,206999
107年07月,英國,505878499,86590,324063440,71931,130730076,29120,197863341,37317,75188905,18671,129628951,30972
107年07月,愛爾蘭,329727033,349954,315089111,374033,134988724,157170,175614693,206743,71762035,92918,138401248,163462
107年07月,中國,295955200,124768,286359212,160244,128491448,70457,155458533,89213,73531686,42878,118242979,75619
107年07月,新加坡,392140188,61024,263675283,50881,104139467,20962,131680969,26120,53183990,11439,95399224,20090
107年07月,香港,238408183,52742,174491392,47238,77085384,19249,86136078,22879,37514686,11142,66268953,18974
107年07月,匈牙利,161846443,25579,148524530,26579,65565774,11898,87967323,16846,37352887,7696,66919066,13211
107年07月,荷蘭,228131980,477895,139526710,295118,38658443,69285,63191542,136189,19070633,22289,48250617,111974
107年07月,法國,217154969,22255,112667840,13341,41617162,5468,63716863,7487,24730207,3373,48239599,5506
107年08月,日本,828763011,203561,659857437,177633,270294284,72270,334877190,85593,174397281,47325,305148087,79910
107年08月,美國,854184034,369064,570778521,436154,238218492,206565,300264460,226061,140325827,117044,217620196,199575
107年08月,英國,460062655,97642,299226872,92845,106359754,39430,178671267,50355,63634217,24741,111271310,41916
107年08月,愛爾蘭,295318021,304492,293415853,336547,118906567,140731,163008072,189588,66893585,85221,130019973,149116
107年08月,中國,266466979,83544,254296073,104866,100201500,44315,115360134,58719,54015409,27918,90995689,49374
107年08月,新加坡,324256379,64168,214190720,60984,86166153,26200,112937218,32320,43646170,14382,85536861,26639
107年08月,香港,240637205,47971,166038133,43395,63309939,17457,74606890,20606,44254158,10634,60947675,17761
107年08月,荷蘭,233738654,488890,147771556,307264,42112941,72853,68711421,140645,21017487,22574,49722437,118108
107年08月,匈牙利,156302274,24653,144042311,24919,59994552,11385,79534667,15931,35380190,7187,58581017,12104
107年08月,南韓,108629595,33073,121942146,32512,58596339,13543,65272073,15447,33181507,7422,55483388,13044
107年09月,日本,814970374,212240,684931475,194387,241421404,69069,309469521,83930,161076353,46033,289973509,79202
107年09月,美國,820458125,382853,575742201,466189,245866402,212496,296035914,232979,142726943,120155,213189771,205039
107年09月,英國,538795879,117582,296772580,115328,100199982,48366,173405219,60630,52968857,28435,107533807,49132
107年09月,愛爾蘭,319560519,332942,314128365,366366,132087967,153763,175512096,202264,69599988,90354,133805972,159380
107年09月,中國,240666772,66020,222019693,78427,97193086,32713,103992837,43105,49419016,20921,80268910,34021
107年09月,新加坡,246906863,69668,194177975,70542,74107592,30527,99905239,36793,38060834,16744,68161781,30461
107年09月,香港,253435888,53673,175261144,47921,70886632,19137,85237723,22748,35415368,11045,65799774,19441
107年09月,荷蘭,256982022,541259,149406155,345410,46817462,80179,71896612,147401,23128645,24961,53013140,122558
107年09月,匈牙利,153600229,22870,133627708,23852,51718789,9992,68464124,13545,29943668,6264,53044869,11070
107年09月,南韓,121668121,36979,139454552,37868,65338924,15707,66306906,16567,35974071,8687,59948193,14772
107年10月,日本,854033928,211510,695818380,193608,263963580,73008,340966253,87146,179068119,48104,305469851,82620
107年10月,美國,798702169,366470,539461893,455772,242309114,215339,274604272,230987,124053174,119519,194917221,202244
107年10月,英國,526860303,122103,319512312,132321,127464720,57906,183015933,71188,66918744,32716,125561276,59906
107年10月,愛爾蘭,292359318,331789,293071028,364242,125233586,154850,174088236,205419,68730396,91521,125964552,159100
107年10月,香港,292772416,51102,184737928,45082,67062717,17751,138578772,21394,36896951,10097,58981912,17403
107年10月,新加坡,260617102,74325,202496602,77181,80323347,34857,100693207,41681,42232734,19598,74386884,33669
107年10月,中國,213028467,49934,185509542,58542,70328843,23037,92565958,30443,44835520,14388,62140955,23460
107年10月,荷蘭,257866557,542703,150074729,351874,39877401,83007,70665364,153427,21667355,24457,50704207,121158
107年10月,西班牙,224215870,19368,125377386,14485,44662629,5716,54202684,7525,25748158,3504,46405252,5863
107年10月,南韓,137475426,37890,140444553,39105,58819576,15399,72525728,16371,42443917,8889,57526907,15424
107年11月,日本,892223108,218729,683896685,194228,264678788,74525,345621914,89416,168929706,46813,299114821,79869
107年11月,美國,912140658,399758,620764923,495451,256152300,232462,309076980,243836,147375703,128965,234286657,217454
107年11月,英國,617036485,167380,433178598,188575,197659889,82075,255723644,105130,90601878,47941,161168223,86347
107年11月,愛爾蘭,345919879,359415,343780312,395007,150228424,169684,232008512,219316,78625044,97876,141313921,171260
107年11月,中國,251327295,59963,239362908,70254,86097364,27332,112831037,35905,50750619,16618,80142475,27282
107年11月,新加坡,285130454,76322,201454055,77884,85217198,33674,108627600,42286,48603168,19859,83700913,33236
107年11月,香港,265351055,58379,183529949,50329,67574216,19802,91499096,22870,45534341,11509,66034282,19428
107年11月,荷蘭,259278553,585513,156434134,378629,48552232,115821,75770355,165690,23845026,26475,56072119,130673
107年11月,南韓,131745724,38577,150069152,39812,65038339,16705,83333618,18231,33555818,9178,65467941,15250
107年11月,匈牙利,157901107,23656,141787030,24406,57109478,10617,73011898,14625,34329392,7018,57994197,12121
107年12月,日本,1047913893,250973,769999980,211687,290932291,81611,349656666,93710,194142117,54005,336973292,89447
107年12月,美國,856125360,413365,567575538,528791,244141309,254397,283371600,263656,142734412,142193,218243949,239506
107年12月,英國,551730518,163930,414344643,186685,175760182,83729,229527034,103630,95769803,48596,168587567,86031
107年12月,愛爾蘭,352018491,381334,349266783,424211,148143323,180568,192978810,232820,80182016,106005,146871875,185015
107年12月,香港,287032518,63150,202668770,54097,79967274,20454,103073033,23893,38504403,11470,68810224,19581
107年12月,新加坡,253832766,65890,197452996,64274,74853132,27164,133654188,33856,39056690,14832,71146585,25741
107年12月,中國,219116201,54355,202282156,63015,77422573,25062,97950150,31881,41997968,15551,69025766,25063
107年12月,荷蘭,267367577,631656,169696633,414395,53208248,117655,81089757,182160,23397461,30396,61789506,143632
107年12月,匈牙利,179884222,27598,167342523,28449,65077310,12305,87130666,16798,40637116,8009,70925918,14176
107年12月,南韓,125213786,36195,143147333,40151,59322602,16557,81675976,18411,34509390,9674,60344639,14128
108年01月,日本,945879686,240057,728746718,205692,285808536,81274,353427392,93109,188584143,52175,325260336,87991
108年01月,美國,826803425,375378,568440531,483074,233636974,237237,269604082,244642,126037226,129424,205680441,221316
108年01月,英國,550722007,136836,383914757,150066,171115506,68209,215728970,85271,83245769,40848,151758451,70753
108年01月,愛爾蘭,336512547,340988,312800189,382727,131830513,169028,192539527,219210,73966478,99070,140508625,173391
108年01月,新加坡,258763971,57594,166799212,54168,72210599,23758,100791234,28892,36552610,12970,65376199,22693
108年01月,香港,249820807,51520,161686556,46091,55722660,18355,131980543,22504,36141192,10387,61680893,18252
108年01月,荷蘭,273595907,617732,167412765,409207,53488447,121828,86441728,189574,26124262,29286,58057669,142761
108年01月,匈牙利,191596278,25715,162487715,26317,69211372,11843,92267758,16070,40641088,7628,71014853,12804
108年01月,中國,187486826,41031,189015491,47629,67402691,19335,80212241,25172,33597789,11810,57117686,19199
108年01月,南韓,122478774,32864,137777789,35114,58961467,14851,78179612,16370,37927438,8597,56483210,13249
108年02月,日本,1010346467,235248,734302273,200426,271209809,72454,376811257,94873,196780687,50539,328602987,83014
108年02月,美國,738379626,379926,535870061,493214,223145245,237876,274971770,250798,123458175,132145,198502151,220199
108年02月,英國,517034624,122498,363557270,128827,159749471,56564,210212808,73813,86804404,35556,149437001,60935
108年02月,愛爾蘭,315718264,356673,320894462,402934,138291307,178665,193058398,229529,75039846,104379,135704860,180285
108年02月,香港,219924091,50927,161064717,50606,56192293,20589,137842053,25331,32986499,11692,62584549,20235
108年02月,荷蘭,257770054,548173,160842744,381273,53142647,118393,83016491,187856,20807623,26618,54827828,137442
108年02月,新加坡,220986356,52392,153605833,46373,62831487,19719,78889471,24341,31122633,10980,57481438,19175
108年02月,南韓,117650148,33537,131186208,35304,52424650,12710,90300316,16601,36012877,7853,57805528,12707
108年02月,匈牙利,135743469,20515,128000520,21981,51515852,9480,71061974,13687,31507230,6016,53415056,10095
108年02月,西班牙,167287994,19349,116469843,14488,38812333,5717,58382543,7418,24034209,3563,41437524,5879
108年03月,日本,1000524391,247504,820680599,226794,313967017,84594,394063679,103462,211243067,55990,384255036,98134
108年03月,英國,809698302,194776,659249679,213460,266754285,94468,355134318,118146,156730462,56986,266289662,101888
108年03月,美國,910230889,418556,620112779,523840,261034956,250587,307873887,262608,144007992,137500,222105999,230410
108年03月,愛爾蘭,328069940,389474,335631646,432589,160432500,189216,185885864,243915,76877788,110153,142051233,193102
108年03月,香港,300512850,64719,211022148,59206,72248636,23033,199757687,28321,41541291,12972,82042977,23268
108年03月,荷蘭,328738498,768873,208645489,518188,71933629,170773,110752575,258374,30070474,37426,72594352,177566
108年03月,新加坡,283263129,66511,193328891,62441,82041611,26724,99357657,33021,36669768,14557,74359262,25432
108年03月,中國,225429850,50296,202592283,57627,81618144,23067,94654118,29469,37768588,13535,69158439,22592
108年03月,南韓,144721542,44287,172536020,49525,72575917,19063,88854836,21146,43290474,11504,70379132,17864
108年03月,西班牙,212895189,21557,139936515,16430,49437605,6423,66697625,7976,26905656,3915,53429565,7149
108年04月,日本,1005933530,265985,780777290,233470,296994114,86759,402599853,109865,198012919,57679,346720957,96519
108年04月,美國,940251645,427913,607295403,535524,250025051,255199,304409122,273432,141547140,138345,227243486,240746
108年04月,英國,772322241,185767,602150257,202780,237949662,90896,331017087,115764,139310816,53546,250028164,96444
108年04月,愛爾蘭,335991082,402272,345031208,453014,142056340,196689,211545804,255198,82962040,116176,143319482,200302
108年04月,荷蘭,337202558,767181,212628301,517761,74496430,177273,115281871,265017,29356098,37690,74861789,181279
108年04月,香港,269292203,49870,170084914,40545,62090033,15956,95369570,19815,37683990,9209,66918319,16010
108年04月,新加坡,249258553,62490,173617315,57959,70857149,24485,92823678,30784,44518058,13247,69031803,22238
108年04月,中國,216420866,46852,190446754,52958,77705260,21570,92950686,26900,38493359,12659,64660277,20690
108年04月,南韓,173515632,53356,184205425,54821,72637090,21731,93495572,21976,39129721,11213,77201847,19328
108年04月,西班牙,220582094,21147,123504404,15872,48619448,6022,63111076,7893,26313844,3842,48388188,6605
108年05月,日本,890952519,240156,743088833,228398,290553429,86660,373318028,107518,181672478,54283,332247784,93295
108年05月,美國,995813072,446330,658439786,552597,278223387,265312,336508961,281468,160295179,149269,261931821,253420
108年05月,英國,852219315,196960,643588005,213890,269866235,95313,361248022,123789,151473618,58212,262232698,100226
108年05月,愛爾蘭,359179669,389995,337340982,434042,153563795,190517,198218441,247967,80454506,112092,142544906,193280
108年05月,荷蘭,384530705,847532,231619049,574457,85501906,201923,127737100,300808,32544503,41970,81600315,209121
108年05月,中國,218499206,48924,193780643,55390,77678181,22456,100479494,28704,41940086,13675,70286995,22347
108年05月,香港,260268167,50009,159090018,40599,58395496,16341,96993885,20839,39330325,9649,71356915,17478
108年05月,新加坡,252034988,59971,168494574,55895,68617933,23654,88894743,29627,34268412,12481,63876963,22690
108年05月,南韓,144175060,45750,154699827,47831,67325523,19656,81793357,21137,38009912,10431,63859712,17104
108年05月,西班牙,226774297,21631,129024680,16129,46344317,6255,64211121,8180,28048462,4071,46042693,6521
108年06月,日本,1053113619,288023,851329005,269309,322437611,99794,404590580,118751,212921053,64931,348995828,104306
108年06月,英國,881379612,218092,699104843,238113,295556569,106662,385347378,135289,160491525,65423,283205000,112622
108年06月,美國,962862950,448524,645312407,556692,269023714,262733,318329722,279890,159263333,146182,239278865,253281
108年06月,愛爾蘭,340978895,382565,334611508,423902,150354991,186456,213821540,241620,79266085,108403,139380035,189033
108年06月,荷蘭,389591567,870900,247989124,612856,86429036,214120,132249929,323017,31239962,45639,89364098,226975
108年06月,香港,267045811,54998,170317825,45842,60930265,18361,99871364,22966,42803372,10517,78145176,19786
108年06月,新加坡,258067839,61601,171646994,58280,78363040,24808,97528878,30824,40927663,13409,63818272,23423
108年06月,中國,208965357,46136,190201794,52125,74274160,21215,93110064,26756,40521260,12424,69366665,21462
108年06月,南韓,158693480,53704,169236997,54743,80496908,22176,88441821,23155,39096823,11893,68368216,18170
108年06月,西班牙,244138001,24629,133929652,18458,50582710,7222,75075372,9705,27149360,4389,53886553,7829
108年07月,日本,1095932280,289022,828225101,252969,322491012,98148,443302553,123996,219114781,67011,366304330,106653
108年07月,美國,1101744455,460411,629175866,539887,276960365,256393,358372810,278016,152332293,144893,246684410,248948
108年07月,英國,916209025,211591,674256879,225097,288870941,100351,402200569,131933,166251986,63043,280284052,107192
108年07月,愛爾蘭,342882276,385582,332930212,423351,151219433,187311,198658040,249315,80738829,111496,147305989,193650
108年07月,荷蘭,403933243,891573,248753646,607933,91473633,220587,144978076,340886,38459967,76707,92245685,231969
108年07月,香港,279281716,69335,173519270,60872,64177520,22988,100054925,30150,38720893,14436,71934469,26939
108年07月,新加坡,237170839,64912,178374769,58065,77207467,24137,97199200,31700,38206725,13462,68569614,24650
108年07月,中國,195860022,43489,194690600,47934,68525618,19340,97163158,25338,39420758,11599,69262957,20472
108年07月,西班牙,231203178,23928,131627332,17604,51260091,7009,72332672,9885,30542025,4726,55279529,7710
108年07月,南韓,151080829,47263,151247957,46301,68239098,20356,92101294,21790,42343261,12016,66066962,17358
108年08月,日本,987800037,268921,770864327,240042,322768765,98846,395097185,114582,211221743,64096,351885384,103824
108年08月,美國,1076994790,458968,669029822,569470,294689464,269457,371251624,295999,165719957,154402,256249370,263924
108年08月,英國,882255067,214748,666939842,230541,293967099,105358,394899476,133508,170668914,66006,280072063,112591
108年08月,愛爾蘭,357939795,368046,333809586,418569,152018530,184332,194023808,243035,83682027,110028,151882916,192970
108年08月,荷蘭,416595002,889710,265692189,626486,100334485,227090,154479772,354225,42999185,90473,98112557,236812
108年08月,新加坡,246764188,62991,174757811,57108,67724574,23803,95550548,31179,38501135,13437,64966176,23769
108年08月,中國,202088107,44403,183601067,48859,73814809,19579,88687129,25688,36461093,11975,68396126,21322
108年08月,香港,220116591,46171,136717090,40462,51236358,16143,75274219,19680,34577405,10100,59138298,17590
108年08月,南韓,142718493,48414,142578575,46757,66316644,20061,85049587,22047,36976322,10654,68682705,19304
108年08月,西班牙,187969904,20704,115077474,15336,47977141,5936,58502915,8127,25889592,3873,37843089,6005
108年09月,日本,992405725,276778,798657399,260138,310701419,99203,367857935,113550,196356491,63525,341166250,101239
108年09月,英國,809237064,202701,630430045,217096,254307161,97237,355806980,125357,157085441,60075,257924248,103356
108年09月,美國,893375622,416005,588672892,535716,246513771,255546,301368980,269322,143733265,142845,225963745,244346
108年09月,愛爾蘭,334483057,353251,314078096,398376,146036457,175880,188481216,230201,78795159,103098,137297471,179110
108年09月,荷蘭,398334986,894282,265832951,668800,98950907,249825,151779753,374065,43252773,83549,99554591,239680
108年09月,新加坡,256852002,60449,163574386,55327,65645499,23087,88458267,29263,37434573,12673,61811934,22581
108年09月,中國,179602305,40765,169163339,47727,63321594,18860,91433654,24423,36853433,11984,79918362,20066
108年09月,香港,199920982,40199,135650869,35721,49359445,14640,75444759,17355,30101111,8492,56346647,15312
108年09月,南韓,140075189,49263,153174479,51201,61731420,20525,78875075,21246,41333964,11637,71526497,20162
