年月,國別,台北市[金額，新台幣],台北市[筆數],新北市[金額，新台幣],新北市[筆數],桃園市[金額，新台幣],桃園市[筆數],台中市[金額，新台幣],台中市[筆數],台南市[金額，新台幣],台南市[筆數],高雄市[金額，新台幣],高雄市[筆數]
104年11月,荷蘭,124611923,215432,78491131,128773,23334656,18082,29344983,19891,10720887,8399,20672791,13981
104年12月,日本,992126475,190166,763169471,156941,259827217,52613,342459621,62672,176725361,36284,334153393,58460
104年12月,英國,863166376,434090,695322402,559597,296394360,252136,381644190,285363,170122729,157886,260453836,239276
104年12月,美國,702468162,129614,371209857,81906,136515747,30941,195128362,35780,79899350,18863,135928862,29813
104年12月,中國,387617972,119995,340060370,142191,138907324,61932,164189884,77439,72405632,36321,124831431,60606
104年12月,香港,379561008,42956,202586678,34811,64227093,12110,87036049,15017,58168043,8024,68904323,12621
104年12月,新加坡,253553700,41869,170817498,34993,65765857,12588,96905607,16708,41298365,8345,68635560,13093
104年12月,澳門,124326711,5627,97699944,4489,26257532,1714,85842742,1999,14804083,1100,22285454,1701
104年12月,盧森堡,100443283,121237,106417812,132416,44930408,53288,55048942,73583,23327113,35428,38426266,56323
104年12月,荷蘭,142676764,277021,90857479,168020,22579762,22990,35579316,34296,11568843,10482,24700045,17620
104年12月,南韓,83060457,19732,85215204,18484,35476448,7499,45946814,8461,23113976,4525,32892448,6898
105年01月,日本,989736917,196256,742901378,159717,277860363,57956,330118718,63842,200662896,39082,311466891,61890
105年01月,英國,840299849,395988,670361331,516434,284387364,234740,360882476,265538,163546162,145326,259237669,224787
105年01月,美國,627999690,121929,343280029,77897,126971414,28668,167771909,31836,78238823,17065,112745016,25950
105年01月,中國,372748771,114971,327569692,139863,127073208,59480,160979071,75806,71464661,36156,114247800,59773
105年01月,香港,367487523,42005,171986087,33760,60581742,11909,81372727,14476,43263612,7580,74887954,12437
105年01月,新加坡,261698074,41979,166952314,35124,62557185,12273,90076462,16046,38611623,8071,65030853,13271
105年01月,盧森堡,83295259,113504,102550586,124865,39265250,51265,75518268,72145,23604527,33920,36406166,53849
105年01月,澳門,141981806,5686,91846658,4509,36672146,1852,55824324,2100,9386551,944,20285936,1711
105年01月,南韓,86755676,20191,94781539,20211,40680073,8006,50096363,9149,27270322,4680,42121882,7738
105年01月,荷蘭,152007331,303043,90576325,187639,22355138,23693,33387663,46023,10954654,9773,23734757,16167
105年02月,日本,1103493217,200354,815159889,159781,272618153,54186,372136837,67313,208396387,37821,327787035,60810
105年02月,英國,892632331,413480,716546198,545424,287020977,247414,392287063,274810,168916468,147517,268684166,229578
105年02月,美國,631919330,129247,361463847,78850,129162874,28223,167093180,32972,85743980,17996,154852947,29428
105年02月,中國,223328248,67282,201389369,83189,74275963,34670,95144070,44670,45645215,21110,69188241,35320
105年02月,新加坡,262031172,49765,168861255,40589,55729682,14151,86546808,18112,40954751,8646,55878202,14633
105年02月,香港,271641551,41921,170129054,35556,48551946,12616,72983784,15516,42295079,8175,58981223,12904
